,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
88,New Mexico,MWC (Mountain),3,9,0.25,1,7,0.125,12.2,28.4,-14.33,-1.08,,,,
89,San Diego State,MWC (West),12,2,0.857,7,2,0.778,27.4,19.8,6.38,-2.48,25,,19,
90,Fresno State,MWC (West),10,3,0.769,6,2,0.75,33.4,20.5,4.88,-3.89,,,18,
91,Nevada,MWC (West),8,5,0.615,5,3,0.625,35.7,26.5,3.47,-1.99,,,,
92,Hawaii,MWC (West),6,7,0.462,3,5,0.375,28.8,31.4,-5.19,-3.58,,,,
93,San Jose State,MWC (West),5,7,0.417,3,5,0.375,20,26.5,-9.11,-3.19,,,,
94,Nevada-Las Vegas,MWC (West),2,10,0.167,2,6,0.25,20.8,32.8,-9.02,0.32,,,,
95,Oregon,Pac-12 (North),10,4,0.714,7,3,0.7,31.4,27,6.22,1.93,22,11,3,
96,Washington State,Pac-12 (North),7,6,0.538,6,3,0.667,27.8,24.2,3.05,-0.02,,,,
97,Oregon State,Pac-12 (North),7,6,0.538,5,4,0.556,31.2,25.8,4.16,0.09,,,,
98,California,Pac-12 (North),5,7,0.417,4,5,0.444,23.8,22.3,-1.32,-2.07,,,,
99,Washington,Pac-12 (North),4,8,0.333,3,6,0.333,21.5,22.7,-4.65,-0.9,,20,20,
100,Stanford,Pac-12 (North),3,9,0.25,2,7,0.222,20.4,32.4,-5.79,3.72,,,,
101,Utah,Pac-12 (South),10,4,0.714,9,1,0.9,36.1,22.6,12.26,1.62,12,24,10,
102,UCLA,Pac-12 (South),8,4,0.667,6,3,0.667,36.5,26.8,7.25,-0.25,,,13,
103,Arizona State,Pac-12 (South),8,5,0.615,6,3,0.667,28.4,20.8,6.49,-0.74,,25,18,
104,Colorado,Pac-12 (South),4,8,0.333,3,6,0.333,18.8,26.7,-6.6,1.65,,,,
105,USC,Pac-12 (South),4,8,0.333,3,6,0.333,28.7,31.8,-1.7,1.8,,15,14,
106,Arizona,Pac-12 (South),1,11,0.083,1,8,0.111,17.2,31.4,-12.4,1.44,,,,
107,Georgia,SEC (East),14,1,0.933,8,1,0.889,38.6,10.2,24.62,5.62,1,5,1,
108,Kentucky,SEC (East),10,3,0.769,5,3,0.625,32.3,21.7,8.73,0.5,18,,11,
109,Tennessee,SEC (East),7,6,0.538,4,4,0.5,39.3,29.1,7.97,3.5,,,,
110,South Carolina,SEC (East),7,6,0.538,3,5,0.375,22.6,24,2.08,3.31,,,,
111,Missouri,SEC (East),6,7,0.462,3,5,0.375,29.1,33.8,0.37,3.22,,,,
112,Florida,SEC (East),6,7,0.462,2,6,0.25,30.7,26.8,4.37,2.14,,13,10,
113,Vanderbilt,SEC (East),2,10,0.167,0,8,0,15.8,35.8,-12.61,1.3,,,,
114,Alabama,SEC (West),13,2,0.867,8,1,0.889,39.9,20.1,19.62,5.69,2,1,1,
115,Ole Miss,SEC (West),10,3,0.769,6,2,0.75,33.7,24.7,11.43,4.05,11,,8,
